Company Name,Region ,Type,Contact Number,Website,,,
Sira Engineering | Sheet Metal Fabrications,Civil Aerodrome Post / Nehru Nagar,Metal fabricator,097892 05522,http://www.sira.in/,,,
Aatharva Fabrication and Roofings - fabrication works in Coimbatore / Roofing Contractors in Coimbatore,Civil Aerodrome Post / Nehru Nagar,Sheet metal contractor,095663 87300,https://aatharvaroofings.com/,,,
M/s Kovai Woodstar Automation and Technology Pvt Ltd,Civil Aerodrome Post / Nehru Nagar,Machining manufacturer,076679 66699,https://www.woodstar.in/,,,
NRC Group of Industries,Civil Aerodrome Post / Nehru Nagar,Steel fabricator,0422 227 0006,https://nrcgroups.com/,,,
Limra True Form Engineering,Civil Aerodrome Post / Nehru Nagar,Sheet metal contractor,095665 92342,http://www.limtatfe.in/,,,
Sree Amman Industries,Civil Aerodrome Post / Nehru Nagar,Metal fabricator,098653 48855,,,,
Coimbatore Roofing,Civil Aerodrome Post / Nehru Nagar,Sheet metal contractor,088380 08067,http://coimbatoreroofing.pro/,,,
Sri Meenakshi Metals - Unit 2,Civil Aerodrome Post / Nehru Nagar,Metal fabricator,075400 87550,http://srimeenakshimetals.com/,,,
Southern Engineering,Civil Aerodrome Post / Nehru Nagar,Manufacturer,098422 44764,http://southernengineering.in/,"work""",,
OM Sakthi Industries- Fabricator/Machineries Manufacturers/Grill and Roofing Shed Work,Civil Aerodrome Post / Nehru Nagar,Fabrication Engineer,090034 99064,http://www.omsakthiindustries.com/,,,
RAM INDUSTRIES,Civil Aerodrome Post / Nehru Nagar,Sheet metal contractor,096267 11999,https://ramfabs.com/,,,
Oscar Indus,Civil Aerodrome Post / Nehru Nagar,Manufacturer,094875 47012,http://www.oscarindus.com/,,,
U & R Engineering Pvt Ltd,Civil Aerodrome Post / Nehru Nagar,Manufacturer,,http://www.nrcgroups.com/,".""",,
The Coimbatore Metal Mart,Civil Aerodrome Post / Nehru Nagar,Metal fabricator,080 4764 4543,http://www.yellowpagesinfo.in/home/page/coimbatore-metal-mart-coimbatore-metal-mart,"is excellent.""",,
Senthilkumar industries,Civil Aerodrome Post / Nehru Nagar,Fabrication Engineer,096779 64411,http://www.senthilkumarindustries.com/,,,
G.K Industries,Civil Aerodrome Post / Nehru Nagar,Metal fabricator,098437 31711,https://gkindus.com/,,,
Rangammal Cottage Industries,Civil Aerodrome Post / Nehru Nagar,Manufacturer,099428 03035,,,,
SRI ASIAN LASER CUT & POWDER COATING,Civil Aerodrome Post / Nehru Nagar,Laser Cutting Service Provider,092452 68506,,".""",,
S S SOLUTIONS,Civil Aerodrome Post / Nehru Nagar,Sheet metal contractor,099943 33066,http://www.sssolutionscbe.com/,,,
Mahavishnu Laser Industry,Civil Aerodrome Post / Nehru Nagar,Manufacturer,095666 10055,https://mahavishnulaser.com/,,,
Sivanandam industries,Civil Aerodrome Post / Nehru Nagar,Fabrication Engineer,,,,,
Limra True Form Engineering,Athipalayam Road,Manufacturer,095665 92342,http://www.limtatfe.in/,,,
Pothiyan Industries | Sheet Metal Bending & Cutting Service,Athipalayam Road,Metal fabricator,099444 44606,https://pothiyan.com/,,,
Southern Engineering,Athipalayam Road,Manufacturer,098422 44764,http://southernengineering.in/,,,
RAM INDUSTRIES,Athipalayam Road,Sheet metal contractor,096267 11999,https://ramfabs.com/,,,
SPS Solutions & SPS LASER CUTTING,Athipalayam Road,Fabrication Engineer,082202 20243,http://spslasercutting.co.in/,,,
M.R.FABRICATORS,Athipalayam Road,Metal fabricator,070107 87640,,,,
Vishmaya Indusries ( Sheet Metal Fabricator / Laser Cutting & Bending ),Athipalayam Road,Manufacturer,078689 35314,,,,
Mohana engineering,Athipalayam Road,Sheet metal contractor,090257 55566,http://www.mohanaengineering.com/,,,
"Joshua Engineering Works - pipe Bending , Flange , Angle rolling , Elbow bends , ERW, Long Elbow Bend, Sheet metal bending",Athipalayam Road,Fabrication Engineer,099430 33075,https://www.joshuaengineeringworks.com/,,,
KPS Industries Sheet Metal Specialist,Athipalayam Road,Metal fabricator,085267 29095,,,,
Shree metal cutting industries unit 2,Athipalayam Road,Sheet metal contractor,094432 95417,,,,
Best Metal Suppliers LLP,Athipalayam Road,Steel fabricator,0422 427 0088,https://www.bestmetalsupplierllp.com/,,,
Metal House Fabrication,Athipalayam Road,Metal fabricator,097908 09230,http://metalhouse-fab.com/,,,
SS BROTHERS SHEET METAL AND ENGINEERING WORKS,Athipalayam Road,Manufacturer,090801 41148,,,,
BALAJEE SHEET CUTTING AND BENDING (GM Steels),Athipalayam Road,Metal fabricator,099423 46742,http://gmsteels.com/,,,
Sri Ambal Fabrication And Traders,Athipalayam Road,Metal fabricator,,http://www.sriambalfab.com/,,,
OM Sakthi Industries- Fabricator/Machineries Manufacturers/Grill and Roofing Shed Work,Athipalayam Road,Fabrication Engineer,090034 99064,http://www.omsakthiindustries.com/,,,
JEEVA INDUSTRIES,Athipalayam Road,Manufacturer,097900 65539,https://www.jeevaindustries.com/,,,
Metal Cutting Industries (Naicker cutting),Athipalayam Road,Metal processing company,098651 77760,http://metalcuttingind.com/,,,
Suriya Equipments - Unit 1,Athipalayam Road,Steel fabricator,098422 28811,http://www.suriyaequipments.com/,,,
,Athipalayam Road,,,,,,
,Athipalayam Road,,,,,,
Rathinam Industries | panel board | electrical panel | sheet metal fabrication | manufacturer | eb metering panel |,Athipalayam Road,Manufacturer,096555 55870,,,,
RKS Metal Screens,Athipalayam Road,Manufacturer,098431 31756,http://rksmetalscreens.com/,,,
"Hi-Tech Engineers - Custom Metal Bending & Fabrication l CNC Pipe Bending, Tube End forming & Rod Bending",Athipalayam Road,Manufacturer,094870 86223,https://hitech-engineers.in/,,,
Arrow Industries,Athipalayam Road,Laser Cutting Service Provider,088832 91929,https://arrowindustries.co/,,,
NEW TECH FABRICATION,Athipalayam Road,Metal fabricator,098434 72136,,,,
Jothi cutting & bending,Athipalayam Road,Metal fabricator,0422 253 8438,,,,
VP INDUSTRIES,Steel fabricator,099528 28624,,,,,
AVIZA TECHNOLOGIES,Metal fabricator,,,,,,
ANUAKIL METALS LASER CUTTING AND BENDING,Laser Cutting Service Provider,095244 17417,,,,,
Sri Sastha Precision Products Pvt Ltd,Manufacturer,0422 241 2577,http://sspppltd.com/,,,,
SHRIEE SHAKTHI ENGINEERING,Fabrication Engineer,095008 93130,http://www.ssefabs.com/,,,,
SUBI IRON AND COMPANY,Iron ware dealer,07397 706 444,,,,,
A1 Industries,Manufacturer,,,,,,
R.S.METALS COIMBATORE,Manufacturer,098420 38686,,,,,
SRT HI TECH ENGINEERING,Manufacturer,099440 45555,https://srthitechengineering.com/,,,,
Pothiyan Industries | Sheet Metal Bending & Cutting Service,Metal fabricator,099444 44606,https://pothiyan.com/,,,,
GOPI GROUPS OF ENGINEERING,Laser Cutting Service Provider,078452 89447,,,,,
Laser Cutting Sheet Metal Fabricator,Laser Cutting Service Provider,,,,,,
Deepam Sheet Metals,Laser Cutting Service Provider,063793 12050,,,,,
Bannari Amman Metal Works - FOUNDRY,Foundry,081229 62774,https://bannariammanmetalworks.com/,,,,
Jayanthi Industries,Metal fabricator,093633 07773,,,,,
SRI GLOBAL ENGINEERING,Sheet metal contractor,,,,,,
Nooks Technologies Private Limited Unit 2,Sheet metal contractor,094421 19121,,,,,
Craft Engineering,Laser Cutting Service Provider,098433 88110,http://craftengineering.in/,,,,
Sun Shine Engineers - Engineer Fabricators,Metal fabricator,098422 96030,http://www.sunshineengineers.co.in/,,,,
Sri Amman Industries,Steel fabricator,099434 94819,https://sriammanindustries.carrd.co/,,,,
G.K Industries,Manufacturer,098437 31711,https://gkindus.com/,,,,
SAHARA STRUCTURES - PRE-FAB | PEB building | Pre-Engineering Building | Mezzaine floor Manufacturer in Coimbatore,Steel construction company,078678 94779,https://www.saharastructures.com/,,,,
AMRITYU ALLOYS,Foundry,097905 89850,https://amrityualloys.com/,,,,
Sri Meenakshi Metals - Unit 2 · Visited link,Steel fabricator,075400 87550,http://srimeenakshimetals.com/,,,,
Irumbagam Structures,Steel construction company,096555 62662,https://irumbagam.com/,,,,
Elixer Manufacturing Solutions,Manufacturer,,,,,,
Sri Ganesh Engineering Unit-II,Metal fabricator,093631 07772,http://www.sriganeshengg.com/,,,,
"Surya steels , sheet & pipes",Steel fabricator,093600 20266,,,,,
Shanmugan engineering,Manufacturer,099949 45552,https://www.shanmuganengineering.in/,,,,
MIKELIGHT ENGINEERING,Manufacturer,,,,,,
Sri Ganesh Engineering,Manufacturer,078715 63242,https://www.sriganeshengg.com/contact-us.php,,,,
?????? ?????????????????????? ?????????????? ????????,Metal fabricator,,https://bit.ly/rajfabrication,,,,
ETMAC Industries Private Limited,Corporate office,097883 49702,http://www.etmac.in/,,,,
MM FABRICATION,Steel fabricator,088256 89907,https://mmfabricationcbe.com/,,,,
KRISHNA FAB,Steel fabricator,,,,,,
Southern Engineering,Manufacturer,098422 44764,http://southernengineering.in/,,,,
CRAFTECH ENGINEERING,Mechanical engineer,080989 90300,,,,,
Best Forgings India Private Limited,Manufacturer,0422 267 3435,http://www.bestforgings.com/,,,,
INDIAN MAKE STEEL INDUSTRIES,Furniture Manufacturer,095857 45303,https://api.whatsapp.com/send?phone=919585745303,,,,
Sri Sairam engineering,Industrial engineer,,http://sairam-engineering.in/,,,,
